mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5128192,0,0,0
memory,table_created,5431296,0,1,0
memory,loaded_1k,10260480,1000,46,0
memory,loaded_10k,47902720,10000,471,0
memory,after_queries,47902720,10000,484,0
memory,after_scan,47902720,10000,537,0
memory,after_updates,47902720,10000,579,0
memory,after_deletes,47902720,5000,750,0
memory,final,47902720,5000,750,0
file,db_created,46317568,0,4,82216
file,table_created,46317568,0,6,123416
file,loaded_1k,45166592,1000,531,5275200
file,loaded_10k,45166592,10000,4524,16399984
file,after_queries,45166592,10000,4538,16399984
file,after_scan,45166592,10000,4591,16399984
file,after_updates,45166592,10000,4926,16498288
file,after_deletes,45166592,5000,7075,16502384
file,final,45166592,5000,7076,16502384
docker_idle,dynamodb_local,179725926,0,0,0
