mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5099520,0,0,0
memory,table_created,5468160,0,0,0
memory,loaded_1k,10301440,1000,45,0
memory,loaded_10k,47943680,10000,460,0
memory,after_queries,47943680,10000,473,0
memory,after_scan,47943680,10000,527,0
memory,after_updates,47943680,10000,569,0
memory,after_deletes,47943680,5000,744,0
memory,final,47943680,5000,745,0
file,db_created,45072384,0,5,82216
file,table_created,45072384,0,8,123416
file,loaded_1k,45072384,1000,656,5275200
file,loaded_10k,45072384,10000,5076,16399984
file,after_queries,45072384,10000,5089,16399984
file,after_scan,45072384,10000,5142,16399984
file,after_updates,45072384,10000,5514,16498288
file,after_deletes,45072384,5000,7757,16502384
file,final,45072384,5000,7757,16502384
docker_idle,dynamodb_local,182766796,0,0,0
docker_idle,localstack,375669828,0,0,0
