mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5136384,0,0,0
memory,table_created,5505024,0,1,0
memory,loaded_1k,10190848,1000,41,0
memory,loaded_10k,47845376,10000,397,0
memory,after_queries,47845376,10000,410,0
memory,after_scan,47845376,10000,465,0
memory,after_updates,47845376,10000,498,0
memory,after_deletes,47845376,5000,647,0
memory,final,47845376,5000,647,0
file,db_created,44310528,0,4,82216
file,table_created,44310528,0,6,123416
file,loaded_1k,43294720,1000,366,5275200
file,loaded_10k,43294720,10000,3095,16399984
file,after_queries,43294720,10000,3109,16399984
file,after_scan,43294720,10000,3162,16399984
file,after_updates,43294720,10000,3408,16498288
file,after_deletes,43294720,5000,4872,16502384
file,final,43294720,5000,4873,16502384
docker_idle,dynamodb_local,198914867,0,0,0
docker_idle,localstack,373782391,0,0,0
