mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5165056,0,0,0
memory,table_created,5664768,0,1,0
memory,loaded_1k,10362880,1000,39,0
memory,loaded_10k,48005120,10000,397,0
memory,after_queries,48005120,10000,410,0
memory,after_scan,48005120,10000,465,0
memory,after_updates,48005120,10000,499,0
memory,after_deletes,48005120,5000,646,0
memory,final,48005120,5000,646,0
file,db_created,46886912,0,4,82216
file,table_created,46886912,0,6,123416
file,loaded_1k,46886912,1000,379,5275200
file,loaded_10k,46886912,10000,3257,16399984
file,after_queries,46886912,10000,3270,16399984
file,after_scan,46886912,10000,3323,16399984
file,after_updates,46886912,10000,3563,16498288
file,after_deletes,46886912,5000,5027,16502384
file,final,46886912,5000,5027,16502384
docker_idle,dynamodb_local,196817715,0,0,0
docker_idle,localstack,375355255,0,0,0
