mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5099520,0,0,0
memory,table_created,5472256,0,0,0
memory,loaded_1k,10297344,1000,47,0
memory,loaded_10k,47939584,10000,487,0
memory,after_queries,48005120,10000,500,0
memory,after_scan,48005120,10000,554,0
memory,after_updates,48009216,10000,597,0
memory,after_deletes,48009216,5000,784,0
memory,final,48009216,5000,784,0
file,db_created,47718400,0,5,82216
file,table_created,47718400,0,8,123416
file,loaded_1k,47718400,1000,318,5324520
file,loaded_10k,47718400,10000,2667,16326376
file,after_queries,47718400,10000,2680,16326376
file,after_scan,47718400,10000,2734,16326376
file,after_updates,47718400,10000,2913,16518888
file,after_deletes,47718400,5000,4201,16522984
file,final,47718400,5000,4202,16522984
docker_idle,dynamodb_local,203423744,0,0,0
docker_idle,localstack,517926638,0,0,0
