mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,4980736,0,0,0
memory,table_created,5550080,0,0,0
memory,loaded_1k,10293248,1000,51,0
memory,loaded_10k,47927296,10000,518,0
memory,after_queries,47927296,10000,533,0
memory,after_scan,47927296,10000,588,0
memory,after_updates,47927296,10000,635,0
memory,after_deletes,47927296,5000,826,0
memory,final,47927296,5000,826,0
file,db_created,46452736,0,7,82216
file,table_created,46452736,0,9,123416
file,loaded_1k,46452736,1000,360,5324520
file,loaded_10k,46452736,10000,3023,16326376
file,after_queries,46452736,10000,3042,16326376
file,after_scan,46452736,10000,3100,16326376
file,after_updates,46452736,10000,3294,16518888
file,after_deletes,46452736,5000,4703,16522984
file,final,46452736,5000,4703,16522984
docker_idle,dynamodb_local,181892983,0,0,0
docker_idle,localstack,522260752,0,0,0
