mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5181440,0,0,0
memory,table_created,5488640,0,1,0
memory,loaded_1k,10305536,1000,50,0
memory,loaded_10k,47915008,10000,520,0
memory,after_queries,47915008,10000,533,0
memory,after_scan,47915008,10000,585,0
memory,after_updates,47915008,10000,629,0
memory,after_deletes,47915008,5000,810,0
memory,final,47915008,5000,810,0
file,db_created,47808512,0,4,82216
file,table_created,47808512,0,6,123416
file,loaded_1k,47808512,1000,327,5324520
file,loaded_10k,47808512,10000,2821,16326376
file,after_queries,47808512,10000,2834,16326376
file,after_scan,47808512,10000,2884,16326376
file,after_updates,47808512,10000,3059,16518888
file,after_deletes,47808512,5000,4381,16522984
file,final,47808512,5000,4381,16522984
docker_idle,dynamodb_local,194196275,0,0,0
docker_idle,localstack,517751876,0,0,0
