mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5226496,0,0,0
memory,table_created,5533696,0,0,0
memory,loaded_1k,10403840,1000,52,0
memory,loaded_10k,48025600,10000,517,0
memory,after_queries,48025600,10000,531,0
memory,after_scan,48025600,10000,583,0
memory,after_updates,48025600,10000,628,0
memory,after_deletes,48025600,5000,816,0
memory,final,48025600,5000,816,0
file,db_created,47759360,0,6,82216
file,table_created,47759360,0,8,123416
file,loaded_1k,47759360,1000,356,5324520
file,loaded_10k,47759360,10000,3006,16326376
file,after_queries,47759360,10000,3020,16326376
file,after_scan,47759360,10000,3071,16326376
file,after_updates,47759360,10000,3256,16518888
file,after_deletes,47759360,5000,4610,16522984
file,final,47759360,5000,4610,16522984
docker_idle,dynamodb_local,184129945,0,0,0
docker_idle,localstack,531278506,0,0,0
