mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5341184,0,0,0
memory,table_created,5648384,0,0,0
memory,loaded_1k,10461184,1000,25,0
memory,loaded_10k,48087040,10000,247,0
memory,after_queries,48087040,10000,255,0
memory,after_scan,48087040,10000,288,0
memory,after_updates,48087040,10000,306,0
memory,after_deletes,48087040,5000,393,0
memory,final,48087040,5000,393,0
file,db_created,47132672,0,4,82216
file,table_created,47132672,0,6,123416
file,loaded_1k,47132672,1000,837,5324520
file,loaded_10k,47132672,10000,3527,16326376
file,after_queries,47132672,10000,3535,16326376
file,after_scan,47132672,10000,3567,16326376
file,after_updates,47132672,10000,3708,16518888
file,after_deletes,47132672,5000,5066,16522984
file,final,47132672,5000,5066,16522984
docker_idle,dynamodb_local,207687953,0,0,0
docker_idle,localstack,524987050,0,0,0
