mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5341184,0,1,0
memory,table_created,5451776,0,1,0
memory,loaded_1k,10252288,1000,50,0
memory,loaded_10k,47874048,10000,456,0
memory,after_queries,47874048,10000,470,0
memory,after_scan,47874048,10000,529,0
memory,after_updates,47878144,10000,567,0
memory,after_deletes,47878144,5000,725,0
memory,final,47878144,5000,725,0
file,db_created,45264896,0,3,82216
file,table_created,45264896,0,5,123416
file,loaded_1k,45264896,1000,286,5324520
file,loaded_10k,45264896,10000,2426,16326376
file,after_queries,45264896,10000,2440,16326376
file,after_scan,45264896,10000,2495,16326376
file,after_updates,45264896,10000,2663,16518888
file,after_deletes,45264896,5000,3803,16522984
file,final,45264896,5000,3803,16522984
docker_idle,dynamodb_local,207722905,0,0,0
docker_idle,localstack,522715135,0,0,0
