mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5349376,0,0,0
memory,table_created,5591040,0,0,0
memory,loaded_1k,10342400,1000,50,0
memory,loaded_10k,47960064,10000,523,0
memory,after_queries,47960064,10000,537,0
memory,after_scan,47960064,10000,591,0
memory,after_updates,47964160,10000,637,0
memory,after_deletes,47964160,5000,822,0
memory,final,47964160,5000,822,0
file,db_created,47800320,0,4,82216
file,table_created,47800320,0,7,123416
file,loaded_1k,47800320,1000,449,5324520
file,loaded_10k,47800320,10000,4110,16326376
file,after_queries,47800320,10000,4124,16326376
file,after_scan,47796224,10000,4178,16326376
file,after_updates,47796224,10000,4420,16518888
file,after_deletes,47796224,5000,6250,16522984
file,final,47796224,5000,6250,16522984
docker_idle,dynamodb_local,189687398,0,0,0
docker_idle,localstack,538024345,0,0,0
