mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5275648,0,0,0
memory,table_created,5779456,0,1,0
memory,loaded_1k,10608640,1000,49,0
memory,loaded_10k,48222208,10000,446,0
memory,after_queries,48222208,10000,460,0
memory,after_scan,48222208,10000,518,0
memory,after_updates,48226304,10000,554,0
memory,after_deletes,48226304,5000,717,0
memory,final,48226304,5000,717,0
file,db_created,43192320,0,5,82216
file,table_created,43192320,0,7,123416
file,loaded_1k,43192320,1000,254,5324520
file,loaded_10k,43192320,10000,2243,16326376
file,after_queries,43192320,10000,2257,16326376
file,after_scan,43192320,10000,2315,16326376
file,after_updates,43134976,10000,2458,16518888
file,after_deletes,43134976,5000,3450,16522984
file,final,43134976,5000,3450,16522984
docker_idle,dynamodb_local,202689740,0,0,0
docker_idle,localstack,534738807,0,0,0
