mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5259264,0,0,0
memory,table_created,5697536,0,0,0
memory,loaded_1k,10518528,1000,51,0
memory,loaded_10k,48140288,10000,517,0
memory,after_queries,48140288,10000,531,0
memory,after_scan,48140288,10000,585,0
memory,after_updates,48144384,10000,630,0
memory,after_deletes,48144384,5000,822,0
memory,final,48144384,5000,822,0
file,db_created,46444544,0,5,82216
file,table_created,46444544,0,7,123416
file,loaded_1k,46444544,1000,344,5324520
file,loaded_10k,46444544,10000,3134,16326376
file,after_queries,46444544,10000,3148,16326376
file,after_scan,46444544,10000,3202,16326376
file,after_updates,46444544,10000,3411,16518888
file,after_deletes,46444544,5000,4947,16522984
file,final,46444544,5000,4947,16522984
docker_idle,dynamodb_local,213280358,0,0,0
docker_idle,localstack,409049497,0,0,0
